Cells,Ligand,Time,Concentration,RFU
NK,Cterm IL-2 monomeric WT,30.0,0.00047418199999999997,494.67446900000004
NK,Cterm IL-2 monomeric WT,60.0,84.0,1692.343018
NK,Cterm IL-2 monomeric WT,60.0,28.0,1221.849731
NK,Cterm IL-2 monomeric WT,60.0,9.333333332999999,749.3634643999999
NK,Cterm IL-2 monomeric WT,60.0,3.111111111,518.2542725
NK,Cterm IL-2 monomeric WT,60.0,1.037037037,667.2907104
NK,Cterm IL-2 monomeric WT,60.0,0.345679012,642.4945679
NK,Cterm IL-2 monomeric WT,60.0,0.115226337,518.7287598
NK,Cterm IL-2 monomeric WT,60.0,0.038408779,595.3120117000001
NK,Cterm IL-2 monomeric WT,60.0,0.012802926000000001,580.6062012
NK,Cterm IL-2 monomeric WT,60.0,0.004267642,628.1097412
NK,Cterm IL-2 monomeric WT,60.0,0.0014225470000000001,683.458313
NK,Cterm IL-2 monomeric WT,60.0,0.00047418199999999997,588.5933227999999
NK,Cterm IL-2 monomeric WT,120.0,84.0,1746.69043
NK,Cterm IL-2 monomeric WT,120.0,28.0,1651.1713869999999
