Cells,Ligand,Time,Replicate,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-062,4,1,10099.1,9055.6,10099.2,7886.5,7608.3,8954.9,6198.6,5696.7,5646.5,4626.8,3943.6,3270.1
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-062,2,1,6751.5,7906.2,7536.3,6948.3,5995.1,7975.8,6019.2,6507.4,5637.4,4929.5,4523.9,4636.1
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-062,1,1,8533.5,10128.0,8979.9,8334.1,7840.3,8796.8,5926.7,4689.6,3222.0,3101.0,2405.3,2399.0
NK cells,IL2-088,4,1,2278.7,2232.1,2235.8,1997.6,1896.4,1254.5,1063.5,969.8,959.1,838.8,830.9,851.2
NK cells,IL2-088,2,1,2365.8,2260.1,1841.4,1323.0,1048.5,1036.4,914.2,871.7,790.4,824.8,830.9,803.1
NK cells,IL2-088,1,1,2721.7,2485.6,1876.6,1087.6,988.9,826.3,776.1,831.7,779.1,765.3,763.2,580.9
CD56bright NK cells,IL2-088,4,1,5194.1,3679.7,3586.2,3455.3,3217.4,2959.9,2182.3,2466.1,2277.3,1113.8,1628.1,1058.8
CD56bright NK cells,IL2-088,2,1,4135.5,4544.6,4420.6,2120.9,2096.3,3101.9,2121.4,1485.2,1132.3,1365.8,1249.7,1003.0
CD56bright NK cells,IL2-088,1,1,5376.9,4305.7,3674.3,2801.6,3152.7,2387.9,1983.9,1330.0,1454.3,917.7,712.9,903.8
Cytotoxic T cells (CD3+CD8+),IL2-088,4,1,3067.6,2659.3,1929.6,1397.8,1158.8,923.2,886.9,881.0,856.3,818.3,829.1,784.7
Cytotoxic T cells (CD3+CD8+),IL2-088,2,1,2812.1,2400.1,1322.4,953.3,897.7,924.9,835.8,856.5,837.2,828.6,786.4,827.4
Cytotoxic T cells (CD3+CD8+),IL2-088,1,1,3086.0,2848.5,1395.0,847.6,841.0,764.9,792.5,807.3,811.1,781.7,769.5,717.0
T-regulatory cells (naïve and memory combined),IL2-088,4,1,45724.0,41100.1,41706.7,42276.2,43989.0,38317.1,37671.9,34649.1,31285.3,24730.4,20276.1,4654.7
T-regulatory cells (naïve and memory combined),IL2-088,2,1,53142.4,45694.0,43789.2,42760.1,42235.3,40544.3,37735.8,34188.7,21984.3,9902.1,5412.1,3669.5
T-regulatory cells (naïve and memory combined),IL2-088,1,1,52458.3,47101.1,44159.7,47097.3,50444.8,46216.3,37269.7,30690.6,17636.6,5379.2,3491.6,2999.2
Naïve T-regulatory cells (CD45RA+),IL2-088,4,1,35658.6,31791.5,34365.6,34177.5,35472.1,30799.1,32021.0,30991.9,27162.3,21531.3,18466.3,3911.4
Naïve T-regulatory cells (CD45RA+),IL2-088,2,1,40645.1,33090.4,33549.7,32284.3,32436.9,30284.4,28818.4,25847.2,12902.7,7627.6,5210.2,3690.4
Naïve T-regulatory cells (CD45RA+),IL2-088,1,1,40381.9,37763.0,31810.4,39330.7,38684.5,35810.8,31488.2,23704.5,10763.5,4211.1,2961.2,2989.8
Memory T-regulatory cells (CD45RA-),IL2-088,4,1,54008.2,47770.2,45068.6,48368.3,49082.5,43884.5,44661.2,38500.3,35574.0,27859.0,23028.1,5563.3
Memory T-regulatory cells (CD45RA-),IL2-088,2,1,61443.4,52695.9,53064.4,48406.7,48309.0,48991.9,41479.6,38864.2,28828.9,10729.0,6416.3,3669.5
Memory T-regulatory cells (CD45RA-),IL2-088,1,1,60218.1,55030.3,50235.8,50896.0,55589.9,52039.7,39834.8,36608.8,23813.5,5553.4,3773.3,3153.8
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-088,4,1,12203.7,10073.3,7883.5,6184.3,5294.1,4480.7,3830.2,3527.1,3308.2,2935.3,2844.4,2675.4
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-088,2,1,7111.8,5783.2,5030.6,4117.4,3961.2,3738.8,3258.8,2957.7,2878.8,2893.1,2700.5,2654.9
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-088,1,1,10589.4,9752.3,6866.2,4110.1,4011.6,3501.3,3032.6,2852.3,2770.4,2702.9,2555.6,2555.5
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-088,4,1,4917.0,4765.4,4482.3,4326.7,4183.4,3825.6,3473.1,3271.5,3158.4,2899.3,2819.2,2664.1
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-088,2,1,4693.4,4117.8,3945.0,3496.2,3547.4,3457.2,3145.9,2920.5,2858.7,2872.9,2692.6,2625.5
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-088,1,1,5823.9,5386.1,4634.0,3526.7,3660.0,3268.8,2965.8,2842.8,2789.7,2719.4,2563.2,2584.5
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-088,4,1,38766.2,29890.0,24353.4,20215.5,14982.7,8351.4,5207.6,4060.7,3551.0,3017.7,2894.4,2710.6
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-088,2,1,26446.3,16913.3,11219.5,6621.3,5218.6,4275.6,3541.6,3033.4,2930.7,2955.5,2720.4,2707.6
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-088,1,1,25471.6,21595.7,13627.6,6042.0,4856.3,4001.2,3145.6,2873.8,2769.6,2692.2,2555.6,2545.7
NK cells,IL2-097,4,1,1605.6,1114.8,870.3,896.6,863.8,786.1,771.0,767.5,682.6,644.3,634.3,601.9
